city_name,PE_SWI,PE_DWI
Hefei,0.469,0.4577
Guangzhou,0.4062,0.4054
Beijing,0.4483,0.4863
Chengdu,0.4796,0.4638
Chongqing,0.4392,0.3347
Shanghai,0.4523,0.4959
Shenzhen,0.3596,0.4089
Xi'an,0.4497,0.4312
Suzhou,0.3757,0.4306
Hangzhou,0.4401,0.4165
Zhengzhou,0.503,0.4808
Tianjin,0.3891,0.456
Shijiazhuang,0.5798,0.4883
Nanjing,0.4713,0.3639
Changchun,0.4368,0.498
Ningbo,0.3698,0.4092
Changsha,0.4069,0.343
Wuxi,0.4353,0.4542
Dongguan,0.4915,0.4368
Foshan,0.449,0.4232
Urumqi,0.5349,0.5061
Quanzhou,0.5559,0.485
Kunming,0.4392,0.4265
Qingdao,0.4384,0.4592
Nanchang,0.4405,0.495
Fuzhou,0.4286,0.3724
Nantong,0.4082,0.4255
Wenzhou,0.4794,0.4606
Nanning,0.4899,0.4169
Wuhan,0.4204,0.4099
Xuzhou,0.4219,0.4397
Tangshan,0.379,0.4519
Jinhua,0.4755,0.5047
Taiyuan,0.4507,0.4853
Shenyang,0.5018,0.4641
Harbin,0.4291,0.4243
Baoding,0.5806,0.5358
Hohhot,0.5327,0.4667
Taizhou,0.5424,0.4718
Changzhou,0.4598,0.4346
Guiyang,0.5399,0.4188
Handan,0.6073,0.5084
Lanzhou,0.4816,0.3855
Dalian,0.4105,0.3953
Jiaxing,0.4544,0.5074
Zhongshan,0.4381,0.4186
Shaoxing,0.4499,0.4406
Cangzhou,0.6133,0.4493
Yancheng,0.6294,0.5524
Xiamen,0.4951,0.436
Xingtai,0.5025,0.4256
Langfang,0.4396,0.4818
Yangzhou,0.452,0.3994
Taizhou,0.549,0.4903
Huizhou,0.4536,0.4174
Yantai,0.4757,0.4706
Jinan,0.3975,0.4987
Zhangjiakou,0.3727,0.3534
Qinhuangdao,0.496,0.5065
Zhenjiang,0.4617,0.4319
Huzhou,0.5807,0.488
Hengshui,0.4944,0.3736
Wuhu,0.5374,0.4544
Haikou,0.4404,0.4309
Jiangmen,0.5203,0.4538
Anqing,0.6376,0.4978
Qingyuan,0.3415,0.3959
Chengde,0.4627,0.4654
Heyuan,0.5859,0.4191
Zhaoqing,0.457,0.3466
Zhuhai,0.3906,0.456
Shaoguan,0.5959,0.4759
Lhasa,0.5134,0.4632
Xuancheng,0.6069,0.4277
Zhoushan,0.4907,0.5232
Chuzhou,0.4806,0.4339
Yangjiang,0.5087,0.4078
Yunfu,0.4825,0.4394
Ma'anshan,0.5258,0.3686
Shanwei,0.4536,0.5274
Chizhou,0.5711,0.5734
Tongling,0.6127,0.4756
